No.,APELLIDO,USUARIO,NOMBRE,EQUIPO,MAIL,DEPARTAMENTO,,DESCRIPCION,PRDESARROLLO,CARPETA PRIVADA,CONEXIONES,PASSWORD,CAMBIAR INICIO SESION,ARCHIVO INICIO SESIÓN,ACCESO,,,OU,,,
110,GARCIA GONZALEZ,ABEL,GAGABEL,desarrollo68,desarrollo68@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo68,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==GAGABEL Goto PROYECTO-4,PC1,
111,ALVAREZ PARCERISA,IRENE,ALPIRENE,desarrollo69,desarrollo69@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo69,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALPIRENE Goto PROYECTO-4,PC1,
112,CASAS ANDRES,ADRIA,CAAADRIA,desarrollo70,desarrollo70@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo70,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==CAAADRIA Goto PROYECTO-4,PC1,
113,MORALES GESE,JAIRO,MOGJAIRO,desarrollo71,desarrollo71@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo71,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==MOGJAIRO Goto PROYECTO-4,PC1,
114,BARALDES MARTORELL,CRISTINA,BAMCRISTINA,desarrollo72,desarrollo72@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo72,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BAMCRISTINA Goto PROYECTO-4,PC1,
115,AROCA GOMEZ,DAVID,ARGDAVID,sub01,sub01@thefinaldomain.com,SUBDIRECCION,User_,User_sub01,,si,"GENERAL, PRIVADA, DIRECCION",Itep@1234,si,si,",PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=SUBDIRECCION,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARGDAVID Goto SUBDIRECCION,PC1,
116,RUEDA ALVAREZ,ADRIA,RUAADRIA,direc01,direc01@thefinaldomain.com,DIRECCION,User_,User_direc01,,si,"GENERAL, PRIVADA, DIRECCION",Itep@1234,si,si,",PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=DIRECCION,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==RUAADRIA Goto DIRECCION,PC1,
117,ALVAREZ DOMENECH,LUCIA,ALDLUCIA,calidad1,calidad1@thefinaldomain.com,CALIDAD,User_,Responsable,,si,"GENERAL, PRIVADA, CALIDAD",Itep@1234,si,si,"calidad1,calidad2,calidad3,calidad4,calidad5,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CALIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALDLUCIA Goto CALIDAD,PC1,
118,BOIX GONZALEZ,CARLA,BOGCARLA,calidad2,calidad2@thefinaldomain.com,CALIDAD,User_,User_calidad2,,si,"GENERAL, PRIVADA, CALIDAD",Itep@1234,si,si,"calidad2,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CALIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BOGCARLA Goto CALIDAD,PC1,
119,BARALDES MONROS,ADRIA,BAMADRIA,calidad3,calidad3@thefinaldomain.com,CALIDAD,User_,User_calidad3,,si,"GENERAL, PRIVADA, CALIDAD",Itep@1234,si,si,"calidad3,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CALIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BAMADRIA Goto CALIDAD,PC1,
120,AGUILERA MERINO,MARTA,AGMMARTA,calidad4,calidad4@thefinaldomain.com,CALIDAD,User_,User_calidad4,,si,"GENERAL, PRIVADA, CALIDAD",Itep@1234,si,si,"calidad4,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CALIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AGMMARTA Goto CALIDAD,PC1,
121,BAREA HAENE,MARC,BAHMARC,calidad5,calidad5@thefinaldomain.com,CALIDAD,User_,User_calidad5,,si,"GENERAL, PRIVADA, CALIDAD",Itep@1234,si,si,"calidad5,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=CALIDAD,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BAHMARC Goto CALIDAD,PC1,
122,BARROSO HAENE,ALEX,BAHALEX,sistemas1,sistemas1@thefinaldomain.com,SISTEMAS,User_,Admin_sis,,si,"GENERAL,PRIVADA,SISTEMAS",Itep@1234,si,si,,"ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=SISTEMAS,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BAHALEX Goto SISTEMAS,PC1,
